Domanda_IT|Domanda_EN|Risposta_Corretta_IT|Risposta_Corretta_EN|Sbagliata_1_IT|Sbagliata_1_EN|Sbagliata_2_IT|Sbagliata_2_EN|Sbagliata_3_IT|Sbagliata_3_EN|Difficolta
Quale stretto separa l'Asia dall'America del Nord?|Which strait separates Asia from North America?|Stretto di Bering|Bering Strait|Stretto di Drake|Drake Passage|Stretto di Gibilterra|Strait of Gibraltar|Stretto di Magellano|Strait of Magellan|2
In quale paese si trova il deserto del Gobi?|In which countries is the Gobi Desert located?|Cina e Mongolia|China and Mongolia|Kazakhstan e Russia|Kazakhstan and Russia|Iran e Afghanistan|Iran and Afghanistan|India e Pakistan|India and Pakistan|2
Qual è il paese con il litorale più lungo al mondo?|Which country has the longest coastline in the world?|Canada|Canada|Russia|Russia|Norvegia|Norway|Indonesia|Indonesia|2
Qual è la città più popolosa del mondo?|What is the most populous city in the world?|Tokyo|Tokyo|Mumbai|Mumbai|Città del Messico|Mexico City|Shanghai|Shanghai|2
In quale paese si trova il lago Titicaca?|In which countries is Lake Titicaca located?|Bolivia e Perù|Bolivia and Peru|Argentina e Cile|Argentina and Chile|Colombia e Venezuela|Colombia and Venezuela|Ecuador e Brasile|Ecuador and Brazil|2
Qual è il punto più basso della superficie terrestre?|What is the lowest point on Earth's surface?|Riva del Mar Morto|Shore of the Dead Sea|Depressione di Qattara|Qattara Depression|Lago Assal|Lake Assal|Valle della Morte|Death Valley|2
Quale catena montuosa divide l'Europa dall'Asia?|What mountain range divides Europe from Asia?|Urali|Urals|Alpi|Alps|Carpazi|Carpathians|Caucaso|Caucasus|2
In quale paese si trovano sia Istanbul che Ankara?|In which country are both Istanbul and Ankara located?|Turchia|Turkey|Grecia|Greece|Georgia|Georgia|Bulgaria|Bulgaria|2
Qual è il paese africano con la popolazione più numerosa?|What is the most populous country in Africa?|Nigeria|Nigeria|Etiopia|Ethiopia|Egitto|Egypt|Repubblica Democratica del Congo|Democratic Republic of Congo|2
In quali paesi si trova il Lago Vittoria?|In which countries is Lake Victoria located?|Kenya, Uganda e Tanzania|Kenya, Uganda and Tanzania|Etiopia e Somalia|Ethiopia and Somalia|Sudan e Egitto|Sudan and Egypt|Congo e Rwanda|Congo and Rwanda|2
Qual è il paese più esteso dell'Africa?|What is the largest country in Africa by area?|Algeria|Algeria|Sudan|Sudan|Repubblica Democratica del Congo|Democratic Republic of Congo|Libia|Libya|2
In quale paese si trova il vulcano Mauna Loa?|In which country is Mauna Loa located?|Stati Uniti (Hawaii)|United States (Hawaii)|Cile|Chile|Islanda|Iceland|Giappone|Japan|2
Quale isola è la più grande del mondo?|What is the largest island in the world?|Groenlandia|Greenland|Nuova Guinea|New Guinea|Borneo|Borneo|Madagascar|Madagascar|2
Qual è il paese che occupa la maggior parte della Penisola Iberica?|Which country occupies most of the Iberian Peninsula?|Spagna|Spain|Portogallo|Portugal|Francia|France|Andorra|Andorra|2
Qual è la penisola più grande del mondo?|What is the largest peninsula in the world?|Penisola Arabica|Arabian Peninsula|Penisola Scandinava|Scandinavian Peninsula|Penisola Indiana|Indian Peninsula|Penisola Iberica|Iberian Peninsula|2
In quale paese si trova la città di Timbuctù?|In which country is the city of Timbuktu located?|Mali|Mali|Niger|Niger|Mauritania|Mauritania|Senegal|Senegal|2
Quale paese ha il maggior numero di patrimoni UNESCO al mondo?|Which country has the most UNESCO World Heritage Sites?|Italia|Italy|Cina|China|Spagna|Spain|Francia|France|2
Qual è il paese interamente europeo più esteso per superficie?|What is the largest country located entirely within Europe by area?|Ucraina|Ukraine|Francia|France|Svezia|Sweden|Spagna|Spain|2
Quale stretto collega il Mar Nero al Mar di Marmara?|Which strait connects the Black Sea to the Sea of Marmara?|Stretto del Bosforo|Bosphorus Strait|Stretto dei Dardanelli|Strait of the Dardanelles|Stretto di Kerč|Kerch Strait|Stretto di Otranto|Strait of Otranto|2
Qual è il paese con la più alta densità di popolazione al mondo?|Which country has the highest population density in the world?|Monaco|Monaco|Singapore|Singapore|Bangladesh|Bangladesh|Maldive|Maldives|2
In quale paese si trova il deserto di Atacama?|In which country is the Atacama Desert mainly located?|Cile|Chile|Argentina|Argentina|Bolivia|Bolivia|Perù|Peru|2
Quale paese africano è rimasto indipendente durante la colonizzazione europea, tranne una breve occupazione italiana?|Which African country remained independent during European colonization, except for a brief Italian occupation?|Etiopia|Ethiopia|Liberia|Liberia|Sudan|Sudan|Nigeria|Nigeria|2
Quale arcipelago nell'Atlantico settentrionale appartiene alla Norvegia?|Which archipelago in the northern Atlantic belongs to Norway?|Svalbard|Svalbard|Isole Faroe|Faroe Islands|Azzorre|Azores|Isole Shetland|Shetland Islands|2
In quale paese si trova la Great Barrier Reef?|In which country is the Great Barrier Reef located?|Australia|Australia|Indonesia|Indonesia|Papua Nuova Guinea|Papua New Guinea|Filippine|Philippines|1
Quale paese produce la maggiore quantità di petrolio al mondo?|Which country produces the most oil in the world?|Stati Uniti|United States|Arabia Saudita|Saudi Arabia|Russia|Russia|Iraq|Iraq|2
Qual è il nome del golfo tra la penisola arabica e l'Iran?|What is the name of the gulf between the Arabian Peninsula and Iran?|Golfo Persico|Persian Gulf|Golfo di Aden|Gulf of Aden|Mar d'Arabia|Arabian Sea|Golfo di Oman|Gulf of Oman|2
Quale paese ospita il maggior numero di rifugiati al mondo?|Which country hosts the most refugees in the world?|Turchia|Turkey|Germania|Germany|Giordania|Jordan|Pakistan|Pakistan|2
Qual è il paese Kazakhstan, Mongolia, Afghanistan, Uzbekistan: quale è il più grande paese landlocked del mondo?|Which is the world's largest landlocked country?|Kazakhstan|Kazakhstan|Mongolia|Mongolia|Afghanistan|Afghanistan|Uzbekistan|Uzbekistan|2
Qual è il capoluogo dell'Argentina?|What is the capital of Argentina?|Buenos Aires|Buenos Aires|Córdoba|Córdoba|Rosario|Rosario|Mendoza|Mendoza|1
Qual è il fiume più lungo d'Europa?|What is the longest river in Europe?|Volga|Volga|Danubio|Danube|Reno|Rhine|Dnieper|Dnieper|2
Quale paese ha la più alta percentuale di territorio coperto da foresta pluviale?|Which country has the highest percentage of its territory covered by rainforest?|Suriname|Suriname|Gabon|Gabon|Brasile|Brazil|Finlandia|Finland|3
Quanti fusi orari attraversa la Russia?|How many time zones does Russia span?|11|11|9|9|13|13|7|7|3
Qual è il paese con il maggior numero di fusi orari al mondo?|Which country has the most time zones in the world?|Francia|France|Russia|Russia|Stati Uniti|United States|Cina|China|3
Qual è il punto più meridionale del continente africano?|What is the southernmost point of the African continent?|Capo degli Aghi|Cape Agulhas|Capo di Buona Speranza|Cape of Good Hope|Capo Horn|Cape Horn|Capo Verde|Cape Verde|2
Qual è il nome della foresta primordiale al confine tra Polonia e Bielorussia?|What is the name of the primeval forest on the border between Poland and Belarus?|Foresta di Białowieża|Białowieża Forest|Foresta Nera|Black Forest|Taiga di Siberia|Siberian Taiga|Foresta di Bialystok|Bialystok Forest|3
Quanti paesi sono landlocked in Africa?|How many countries are landlocked in Africa?|16|16|10|10|12|12|8|8|3
Qual è la città con il porto più trafficato del mondo per volume di container?|What is the city with the world's busiest port by container volume?|Shanghai|Shanghai|Singapore|Singapore|Rotterdam|Rotterdam|Los Angeles|Los Angeles|2
In quale paese si trova il punto più lontano dal mare sulla superficie terrestre?|In which country is the point on Earth farthest from the sea?|Cina (Xinjiang)|China (Xinjiang)|Mongolia|Mongolia|Kazakhstan|Kazakhstan|Russia|Russia|3
Cosa separa geograficamente l'Asia dall'Africa?|What geographically separates Asia from Africa?|Mar Rosso e Canale di Suez|Red Sea and Suez Canal|Stretto di Gibilterra|Strait of Gibraltar|Mediterraneo orientale|Eastern Mediterranean|Golfo di Aden|Gulf of Aden|2
Qual è lo stretto che separa la Groenlandia dall'Islanda?|What is the strait that separates Greenland from Iceland?|Stretto di Danimarca|Denmark Strait|Stretto di Davis|Davis Strait|Mare di Norvegia|Norwegian Sea|Canale del Nord|North Channel|3
Quale nazione insulare del Pacifico è la più piccola repubblica del mondo?|Which Pacific island nation is the world's smallest republic?|Nauru|Nauru|Tuvalu|Tuvalu|Palau|Palau|Isole Marshall|Marshall Islands|3
Quale paese ha il maggior numero di laghi al mondo?|Which country has the most lakes in the world?|Canada|Canada|Russia|Russia|Finlandia|Finland|Svezia|Sweden|2
Qual è il delta fluviale più grande del mondo?|What is the world's largest river delta?|Delta del Gange-Brahmaputra (Bangladesh e India)|Ganges-Brahmaputra Delta (Bangladesh and India)|Delta del Nilo|Nile Delta|Delta del Mississippi|Mississippi Delta|Delta del Mekong|Mekong Delta|3
Qual è il paese europeo con la linea costiera più corta?|Which European country has the shortest coastline?|Monaco|Monaco|Bosnia ed Erzegovina|Bosnia and Herzegovina|Slovenia|Slovenia|Giordania|Jordan|3
In quale paese si trovano i tre canyon più profondi del mondo?|In which country are the three deepest canyons in the world?|Cina (Tibet)|China (Tibet)|Stati Uniti|United States|Nepal|Nepal|Perù|Peru|3
Quanti paesi confinano con la Russia?|How many countries border Russia?|14|14|10|10|16|16|12|12|3
Quale isola è divisa tra tre paesi: Indonesia, Malaysia e Brunei?|Which island is divided among three countries: Indonesia, Malaysia, and Brunei?|Borneo|Borneo|Nuova Guinea|New Guinea|Sulawesi|Sulawesi|Sumatra|Sumatra|2
Qual è il paese con il maggior numero di frontiere terrestri?|Which country has the most land borders?|Russia e Cina (entrambe 14)|Russia and China (both 14)|Brasile|Brazil|Germania|Germany|Kazakistan|Kazakhstan|3
In quale oceano si trova l'isola di Madagascar?|In which ocean is the island of Madagascar located?|Oceano Indiano|Indian Ocean|Oceano Atlantico|Atlantic Ocean|Oceano Pacifico|Pacific Ocean|Mar Rosso|Red Sea|1
Quale paese ha il maggior numero di isole al mondo?|Which country has the most islands in the world?|Svezia|Sweden|Finlandia|Finland|Canada|Canada|Indonesia|Indonesia|3
Qual è il paese con la più alta altitudine media sul livello del mare?|Which country has the highest average elevation above sea level?|Bhutan|Bhutan|Nepal|Nepal|Tibet (Cina)|Tibet (China)|Bolivia|Bolivia|3
Dove si trova geograficamente il punto chiamato "Null Island"?|Where is the geographic point called "Null Island" located?|Nell'Oceano Atlantico, dove l'Equatore incrocia il Meridiano di Greenwich|In the Atlantic Ocean, where the Equator meets the Prime Meridian|In mezzo all'Oceano Pacifico|In the middle of the Pacific Ocean|Vicino al Polo Nord|Near the North Pole|In Antartide|In Antarctica|3
Qual è il paese europeo con la più alta altitudine media?|Which European country has the highest average altitude?|Andorra|Andorra|Svizzera|Switzerland|Austria|Austria|Liechtenstein|Liechtenstein|3
In quale paese si trova la più vasta area di permafrost del mondo?|In which country is the world's largest permafrost area found?|Russia|Russia|Canada|Canada|Norvegia|Norway|Alaska (USA)|Alaska (USA)|3
Quale paese è attraversato sia dall'equatore che dal tropico del Capricorno?|Which country is crossed by both the equator and the Tropic of Capricorn?|Brasile|Brazil|Colombia|Colombia|Kenya|Kenya|Indonesia|Indonesia|2
Qual è la capitale della Nuova Zelanda?|What is the capital of New Zealand?|Wellington|Wellington|Auckland|Auckland|Christchurch|Christchurch|Hamilton|Hamilton|2
Quale stretto collega l'Oceano Atlantico all'Oceano Pacifico a sud del Sud America?|Which strait connects the Atlantic and Pacific Oceans south of South America?|Stretto di Magellano|Strait of Magellan|Stretto di Drake|Drake Passage|Canale di Panama|Panama Canal|Stretto di Gibilterra|Strait of Gibraltar|2
In quale paese si trova la pioggia media annua più bassa, rendendo una zona tra i luoghi più aridi della Terra?|In which country is the lowest average annual rainfall, making it one of Earth's driest places?|Cile (Atacama)|Chile (Atacama)|Egitto (Sahara)|Egypt (Sahara)|Libia|Libya|Arabia Saudita|Saudi Arabia|3
Qual è il paese con la più lunga storia come stato indipendente ininterrotto?|Which country has the longest history as an uninterrupted independent state?|San Marino|San Marino|Cina|China|Egitto|Egypt|Grecia|Greece|3
Quale paese latinoamericano ha la costa sia sull'Oceano Pacifico che sul Mar dei Caraibi?|Which Latin American country has a coast on both the Pacific Ocean and the Caribbean Sea?|Colombia|Colombia|Venezuela|Venezuela|Perù|Peru|Ecuador|Ecuador|2
Qual è la capitale del Messico?|What is the capital of Mexico?|Città del Messico|Mexico City|Guadalajara|Guadalajara|Monterrey|Monterrey|Puebla|Puebla|1
In quale paese si trova il Parco Nazionale di Yellowstone?|In which country is Yellowstone National Park located?|Stati Uniti|United States|Canada|Canada|Messico|Mexico|Alaska|Alaska|1
Quale paese europeo è composto da oltre 6.000 isole?|Which European country is composed of over 6,000 islands?|Grecia|Greece|Norvegia|Norway|Finlandia|Finland|Svezia|Sweden|2
Qual è il nome del mare interno tra Svezia, Finlandia, Estonia, Lettonia, Lituania, Polonia, Germania e Danimarca?|What is the name of the inland sea bordered by Sweden, Finland, Estonia, Latvia, Lithuania, Poland, Germany, and Denmark?|Mar Baltico|Baltic Sea|Mar del Nord|North Sea|Mar di Barents|Barents Sea|Mar di Norvegia|Norwegian Sea|2
