Domanda_IT|Domanda_EN|Risposta_Corretta_IT|Risposta_Corretta_EN|Sbagliata_1_IT|Sbagliata_1_EN|Sbagliata_2_IT|Sbagliata_2_EN|Sbagliata_3_IT|Sbagliata_3_EN|Difficolta
Cos'è una nebulosa?|What is a nebula?|Una nube di gas e polvere nello spazio|A cloud of gas and dust in space|Un tipo di galassia|A type of galaxy|Un ammasso stellare|A star cluster|Un pianeta gassoso|A gas planet|1
Di che colore appare Marte osservato dalla Terra?|What color does Mars appear when observed from Earth?|Rosso|Red|Blu|Blue|Verde|Green|Giallo|Yellow|1
Cos'è una supernova?|What is a supernova?|L'esplosione di una stella massiccia al termine della sua vita|The explosion of a massive star at the end of its life|Una stella molto luminosa|A very bright star|Una collisione tra galassie|A collision between galaxies|La formazione di un pianeta|The formation of a planet|1
Qual è la composizione principale del Sole?|What is the main composition of the Sun?|Idrogeno ed elio|Hydrogen and helium|Ossigeno e carbonio|Oxygen and carbon|Ferro e nichel|Iron and nickel|Azoto e argon|Nitrogen and argon|1
Cosa studia l'astronomia?|What does astronomy study?|I corpi celesti e i fenomeni dell'universo|Celestial bodies and phenomena of the universe|La struttura della Terra|The structure of Earth|Le particelle subatomiche|Subatomic particles|I campi magnetici terrestri|Earth's magnetic fields|1
Cos'è un asteroide?|What is an asteroid?|Un corpo roccioso che orbita intorno al Sole, più piccolo di un pianeta|A rocky body orbiting the Sun, smaller than a planet|Una luna di un pianeta|A moon of a planet|Una cometa senza coda|A comet without a tail|Un meteorite che ha colpito la Terra|A meteorite that hit Earth|1
Cos'è il Big Bang?|What is the Big Bang?|Il momento iniziale dell'espansione dell'universo|The initial moment of the expansion of the universe|Un'esplosione di una supernova gigante|An explosion of a giant supernova|Una collisione tra galassie|A collision between galaxies|La teoria dell'universo stazionario|The steady state universe theory|1
Chi ha proposto per primo il modello eliocentrico del sistema solare?|Who first proposed the heliocentric model of the solar system?|Niccolò Copernico|Nicolaus Copernicus|Galileo Galilei|Galileo Galilei|Giordano Bruno|Giordano Bruno|Tolomeo|Ptolemy|1
Cosa sono le maree?|What are tides?|Il sollevamento e abbassamento del livello del mare causati dalla gravità della Luna e del Sole|The rise and fall of sea level caused by the gravity of the Moon and Sun|Le onde generate dai terremoti|Waves generated by earthquakes|I movimenti delle correnti oceaniche|The movements of ocean currents|Le variazioni climatiche stagionali|Seasonal climate variations|1
Cos'è la zona abitabile di un sistema stellare?|What is the habitable zone of a stellar system?|La regione attorno a una stella dove l'acqua può esistere allo stato liquido|The region around a star where water can exist in liquid form|La zona più vicina alla stella|The zone closest to the star|La zona più lontana dalla stella|The zone farthest from the star|La regione con più pianeti|The region with the most planets|1
Chi ha scoperto le quattro lune principali di Giove?|Who discovered Jupiter's four main moons?|Galileo Galilei|Galileo Galilei|Johannes Kepler|Johannes Kepler|Tycho Brahe|Tycho Brahe|Isaac Newton|Isaac Newton|1
Chi ha formulato la teoria della relatività generale?|Who formulated the theory of general relativity?|Albert Einstein|Albert Einstein|Isaac Newton|Isaac Newton|Stephen Hawking|Stephen Hawking|Niels Bohr|Niels Bohr|1
Qual è il periodo di rivoluzione della Terra attorno al Sole?|What is Earth's period of revolution around the Sun?|365,25 giorni|365.25 days|24 ore|24 hours|29,5 giorni|29.5 days|400 giorni|400 days|1
Qual è la stella più vicina al sistema solare?|What is the star closest to the solar system?|Proxima Centauri|Proxima Centauri|Sirio|Sirius|Vega|Vega|Betelgeuse|Betelgeuse|2
Quanti anni luce dista la galassia di Andromeda?|How many light-years away is the Andromeda galaxy?|2,5 milioni|2.5 million|100.000|100,000|65 milioni|65 million|1 miliardo|1 billion|2
Qual è il satellite più grande del sistema solare?|What is the largest moon in the solar system?|Ganimede|Ganymede|Titano|Titan|Callisto|Callisto|Io|Io|2
Cos'è l'Unità Astronomica?|What is the Astronomical Unit?|La distanza media tra la Terra e il Sole|The average distance between Earth and the Sun|La distanza media tra la Terra e la Luna|The average distance between Earth and the Moon|La distanza fino a Proxima Centauri|The distance to Proxima Centauri|Un'unità di misura del tempo|A unit of time measurement|2
Qual è la temperatura superficiale del Sole?|What is the surface temperature of the Sun?|Circa 5.500 gradi Celsius|About 5,500 degrees Celsius|Circa 10.000 gradi Celsius|About 10,000 degrees Celsius|Circa 1.000 gradi Celsius|About 1,000 degrees Celsius|Circa 50.000 gradi Celsius|About 50,000 degrees Celsius|2
Cos'è la cintura di Kuiper?|What is the Kuiper Belt?|Una regione oltre Nettuno con corpi ghiacciati|A region beyond Neptune with icy bodies|La fascia di asteroidi tra Marte e Giove|The asteroid belt between Mars and Jupiter|Un anello attorno a Saturno|A ring around Saturn|Una zona di buchi neri|A zone of black holes|2
Qual è la velocità della luce nel vuoto?|What is the speed of light in a vacuum?|300.000 km/s|300,000 km/s|150.000 km/s|150,000 km/s|450.000 km/s|450,000 km/s|1.000.000 km/s|1,000,000 km/s|2
Cos'è un anno luce?|What is a light-year?|La distanza percorsa dalla luce in un anno|The distance light travels in one year|Il tempo impiegato dalla luce per raggiungere il Sole|The time for light to reach the Sun|365 giorni astronomici|365 astronomical days|Un'unità di tempo cosmica|A cosmic unit of time|2
In quale anno fu lanciato il telescopio spaziale James Webb?|In which year was the James Webb Space Telescope launched?|2021|2021|2018|2018|2019|2019|2023|2023|2
Qual è il nome della sonda che ha visitato Plutone nel 2015?|What is the name of the probe that visited Pluto in 2015?|New Horizons|New Horizons|Voyager 1|Voyager 1|Cassini|Cassini|Juno|Juno|2
Quante volte entra la Terra nel Sole per volume?|How many times does Earth fit inside the Sun by volume?|Circa 1,3 milioni di volte|About 1.3 million times|Circa 10.000 volte|About 10,000 times|Circa 100.000 volte|About 100,000 times|Circa 1 miliardo di volte|About 1 billion times|2
Qual è il pianeta con la rotazione più rapida nel sistema solare?|Which planet has the fastest rotation in the solar system?|Giove|Jupiter|Saturno|Saturn|Terra|Earth|Nettuno|Neptune|2
Qual è il pianeta più caldo del sistema solare?|What is the hottest planet in the solar system?|Venere|Venus|Mercurio|Mercury|Giove|Jupiter|Marte|Mars|2
Quante lune ha Saturno (approssimativamente)?|Approximately how many moons does Saturn have?|Oltre 140|Over 140|27|27|67|67|14|14|2
Cos'è la materia oscura?|What is dark matter?|Una forma di materia ipotetica che non interagisce con la luce|A hypothetical form of matter that does not interact with light|Gas molto denso|Very dense gas|La materia all'interno dei buchi neri|The matter inside black holes|Un tipo di energia|A type of energy|2
Qual è la distanza media tra la Terra e la Luna?|What is the average distance between Earth and the Moon?|384.000 km|384,000 km|150 milioni di km|150 million km|1 milione di km|1 million km|76.000 km|76,000 km|2
Chi ha scoperto che le galassie si allontanano da noi?|Who discovered that galaxies are moving away from us?|Edwin Hubble|Edwin Hubble|Albert Einstein|Albert Einstein|Georges Lemaître|Georges Lemaître|Nicolaus Copernicus|Nicolaus Copernicus|2
Quanto dura circa un anno su Marte?|How long is approximately a year on Mars?|687 giorni terrestri|687 Earth days|365 giorni terrestri|365 Earth days|500 giorni terrestri|500 Earth days|1.000 giorni terrestri|1,000 Earth days|2
Cos'è la nana bianca?|What is a white dwarf?|Il residuo compatto di una stella di piccola-media massa alla fine della sua vita|The compact remnant of a low-to-medium mass star at the end of its life|Una stella molto piccola e fredda|A very small and cold star|Un pianeta senza luce propria|A planet without its own light|Una stella di neutroni|A neutron star|2
Qual è il nome del rover NASA atterrato su Marte nel 2021?|What is the name of the NASA rover that landed on Mars in 2021?|Perseverance|Perseverance|Curiosity|Curiosity|Opportunity|Opportunity|Spirit|Spirit|2
Cos'è il vento solare?|What is the solar wind?|Un flusso di particelle cariche emesse dal Sole|A flow of charged particles emitted by the Sun|L'energia emessa dal Sole come luce|The energy emitted by the Sun as light|Le tempeste magnetiche sulla Terra|Magnetic storms on Earth|La pressione della gravità solare|The pressure of solar gravity|2
Cos'è la fascia di van Allen?|What is the Van Allen Belt?|Zone di particelle cariche intrappolate dal campo magnetico terrestre|Zones of charged particles trapped by Earth's magnetic field|Una cintura di asteroidi|An asteroid belt|La stratosfera della Terra|Earth's stratosphere|Gli anelli attorno alla Terra|Rings around Earth|2
Qual è il nome del buco nero al centro della Via Lattea?|What is the name of the black hole at the center of the Milky Way?|Sagittarius A*|Sagittarius A*|M87*|M87*|Cygnus X-1|Cygnus X-1|NGC 4889|NGC 4889|2
Cos'è un pianeta nano?|What is a dwarf planet?|Un corpo che orbita il Sole ma non ha liberato la sua orbita da altri corpi|A body orbiting the Sun that hasn't cleared its orbit of other bodies|Un pianeta molto piccolo|A very small planet|Un pianeta senza lune|A planet without moons|Un asteroide di grande dimensione|A large-sized asteroid|2
In quale anno Plutone è stato declassato a pianeta nano?|In which year was Pluto reclassified as a dwarf planet?|2006|2006|2000|2000|1999|1999|2012|2012|2
Cos'è lo spostamento verso il rosso (redshift)?|What is redshift?|Lo spostamento dello spettro luminoso verso lunghezze d'onda maggiori dovuto all'allontanamento|The shift of the light spectrum to longer wavelengths due to recession|Il colore delle stelle più vecchie|The color of older stars|La rifrazione della luce nell'atmosfera|The refraction of light in the atmosphere|Un effetto del campo gravitazionale solare|An effect of the solar gravitational field|2
Cosa sono le macchie solari?|What are sunspots?|Zone della superficie solare con forte campo magnetico e temperatura più bassa|Areas of the solar surface with strong magnetic field and lower temperature|Esplosioni sulla superficie del Sole|Explosions on the Sun's surface|Regioni di alta temperatura del Sole|Regions of high temperature on the Sun|Buchi nella fotosfera solare|Holes in the solar photosphere|2
Qual è il nome della prima donna nello spazio?|What is the name of the first woman in space?|Valentina Tereshkova|Valentina Tereshkova|Sally Ride|Sally Ride|Svetlana Savitskaya|Svetlana Savitskaya|Mae Jemison|Mae Jemison|2
Cosa sono le aurore boreali?|What are the northern lights?|Fenomeni luminosi causati dall'interazione del vento solare con l'atmosfera terrestre|Light phenomena caused by the interaction of solar wind with Earth's atmosphere|Riflessi della luce lunare sulle nuvole|Reflections of moonlight on clouds|Eruzioni atmosferiche nelle regioni polari|Atmospheric eruptions in polar regions|Fenomeni elettrici nell'alta atmosfera|Electrical phenomena in the upper atmosphere|2
In quale anno Galileo Galilei puntò il telescopio verso il cielo per prime osservazioni sistematiche?|In which year did Galileo Galilei first point a telescope toward the sky for systematic observations?|1609|1609|1543|1543|1687|1687|1781|1781|2
Chi ha formulato le leggi del moto planetario?|Who formulated the laws of planetary motion?|Johannes Kepler|Johannes Kepler|Isaac Newton|Isaac Newton|Galileo Galilei|Galileo Galilei|Edmond Halley|Edmond Halley|2
Cos'è la magnitudine apparente di un oggetto celeste?|What is the apparent magnitude of a celestial object?|La misura della sua luminosità come appare dalla Terra|The measure of its brightness as seen from Earth|La distanza dalla Terra|The distance from Earth|La sua massa|Its mass|Il colore della sua luce|The color of its light|2
Quale pianeta ha la più alta pressione atmosferica nel sistema solare tra quelli con superficie solida?|Which planet has the highest atmospheric pressure among those with a solid surface?|Venere|Venus|Giove|Jupiter|Saturno|Saturn|Terra|Earth|2
Quante stelle ci sono approssimativamente nella Via Lattea?|How many stars are there approximately in the Milky Way?|200-400 miliardi|200-400 billion|1 miliardo|1 billion|1 trilione|1 trillion|10 milioni|10 million|2
Quante galassie si stima esistano nell'universo osservabile?|How many galaxies are estimated to exist in the observable universe?|Oltre 2 trilioni|Over 2 trillion|Circa 200 miliardi|About 200 billion|Circa 10 miliardi|About 10 billion|Circa 1 trilione|About 1 trillion|2
Qual è la distanza in anni luce tra la Terra e il centro della Via Lattea?|What is the distance in light-years from Earth to the center of the Milky Way?|Circa 26.000 anni luce|About 26,000 light-years|Circa 1.000 anni luce|About 1,000 light-years|Circa 100.000 anni luce|About 100,000 light-years|Circa 2,5 milioni di anni luce|About 2.5 million light-years|2
Qual è il raggio equatoriale medio della Terra?|What is the average equatorial radius of Earth?|Circa 6.371 km|About 6,371 km|Circa 12.742 km|About 12,742 km|Circa 1.000 km|About 1,000 km|Circa 40.000 km|About 40,000 km|2
Chi ha scoperto il pianeta Urano?|Who discovered the planet Uranus?|William Herschel|William Herschel|Galileo Galilei|Galileo Galilei|Johann Galle|Johann Galle|Charles Messier|Charles Messier|2
Cos'è un pulsar?|What is a pulsar?|Una stella di neutroni che emette fasci di radiazioni a intervalli regolari|A neutron star emitting radiation beams at regular intervals|Un buco nero rotante|A rotating black hole|Una stella variabile|A variable star|Una galassia attiva|An active galaxy|3
Cos'è un quasar?|What is a quasar?|Il nucleo attivo di una galassia lontana con luminosità elevatissima|The highly luminous active nucleus of a distant galaxy|Un tipo di stella di neutroni|A type of neutron star|Una galassia nana|A dwarf galaxy|Un buco nero isolato|An isolated black hole|3
Cos'è la forza di marea?|What is tidal force?|La forza gravitazionale differenziale che causa la deformazione di un corpo|The differential gravitational force causing deformation of a body|La forza che crea le onde oceaniche|The force that creates ocean waves|L'attrazione tra pianeti|The attraction between planets|La pressione della luce solare|The pressure of sunlight|3
Cos'è l'orizzonte degli eventi di un buco nero?|What is a black hole's event horizon?|Il confine oltre il quale nulla può sfuggire alla gravità del buco nero|The boundary beyond which nothing can escape the black hole's gravity|La superficie visibile del buco nero|The visible surface of the black hole|L'anello di gas attorno al buco nero|The ring of gas around the black hole|La zona dove si forma il buco nero|The zone where the black hole forms|3
Cos'è la nucleosintesi stellare?|What is stellar nucleosynthesis?|La fusione di nuclei atomici leggeri in nuclei più pesanti all'interno delle stelle|The fusion of light atomic nuclei into heavier ones inside stars|Il collasso gravitazionale di una stella|The gravitational collapse of a star|La formazione di stelle nuove|The formation of new stars|La scissione dell'atomo nelle stelle|The splitting of atoms in stars|3
Qual è il nome del confine teorico più esterno del sistema solare?|What is the name of the outermost theoretical boundary of the solar system?|Nube di Oort|Oort Cloud|Cintura di Kuiper|Kuiper Belt|Eliopausa|Heliopause|Fascia di van Allen|Van Allen Belt|3
Cosa sono le onde gravitazionali?|What are gravitational waves?|Increspature dello spazio-tempo causate da masse accelerate|Ripples in spacetime caused by accelerating masses|La gravità che si propaga tra i pianeti|Gravity propagating between planets|Le onde radio emesse dalle stelle|Radio waves emitted by stars|Le oscillazioni del campo magnetico|Oscillations of the magnetic field|3
In quale anno sono state rilevate per la prima volta le onde gravitazionali?|In which year were gravitational waves first detected?|2015|2015|2000|2000|2010|2010|2019|2019|3
Cos'è la costante di Hubble?|What is the Hubble constant?|La misura del tasso di espansione dell'universo|The measure of the rate of expansion of the universe|La forza gravitazionale al centro delle galassie|The gravitational force at the center of galaxies|La velocità massima delle stelle|The maximum speed of stars|Il rapporto tra massa e luminosità delle galassie|The ratio of mass to luminosity of galaxies|3
Qual è il tipo spettrale del Sole nella classificazione di Harvard?|What is the Sun's spectral type in the Harvard classification?|G2V|G2V|O5V|O5V|K0III|K0III|A1V|A1V|3
Cosa sono le stelle variabili cefeidi?|What are Cepheid variable stars?|Stelle che pulsano con una periodicità legata alla loro luminosità assoluta|Stars that pulsate with a period related to their absolute luminosity|Stelle che cambiano colore nel tempo|Stars that change color over time|Stelle binarie che si eclissano|Binary stars that eclipse each other|Stelle giovani in fase di accrescimento|Young stars in accretion phase|3
Cos'è la parallasse stellare?|What is stellar parallax?|Lo spostamento apparente di una stella dovuto al moto orbitale della Terra|The apparent shift of a star due to Earth's orbital motion|La distanza tra due stelle|The distance between two stars|Il movimento di una stella nello spazio|The movement of a star in space|La luminosità apparente di una stella|The apparent brightness of a star|3
Qual è la temperatura al centro del Sole?|What is the temperature at the center of the Sun?|Circa 15 milioni di gradi Celsius|About 15 million degrees Celsius|Circa 5.500 gradi Celsius|About 5,500 degrees Celsius|Circa 1 milione di gradi Celsius|About 1 million degrees Celsius|Circa 100 milioni di gradi Celsius|About 100 million degrees Celsius|3
Cos'è la precessione degli equinozi?|What is the precession of the equinoxes?|Il lento movimento dell'asse terrestre che traccia un cono in circa 26.000 anni|The slow movement of Earth's axis tracing a cone in about 26,000 years|Il cambiamento delle stagioni|The change of seasons|Il moto della Terra attorno al Sole|The motion of Earth around the Sun|L'oscillazione dell'orbita terrestre|The oscillation of Earth's orbit|3
Cos'è la nucleosintesi del Big Bang?|What is Big Bang nucleosynthesis?|La formazione di nuclei leggeri (H, He, Li) nei primissimi minuti dopo il Big Bang|The formation of light nuclei (H, He, Li) in the first minutes after the Big Bang|L'esplosione originale dell'universo|The original explosion of the universe|La formazione delle prime stelle|The formation of the first stars|La creazione della materia oscura|The creation of dark matter|3
Cos'è l'energia oscura?|What is dark energy?|Una forma di energia che causa l'espansione accelerata dell'universo|A form of energy causing the accelerated expansion of the universe|L'energia prodotta dai buchi neri|The energy produced by black holes|La radiazione delle stelle|The radiation from stars|Un campo magnetico cosmico|A cosmic magnetic field|3
In quale costellazione si trova la stella Betelgeuse?|In which constellation is the star Betelgeuse located?|Orione|Orion|Toro|Taurus|Scorpione|Scorpius|Perseo|Perseus|2
Cosa studia l'astrometria?|What does astrometry study?|La posizione e il moto precisi delle stelle e degli oggetti celesti|The precise position and motion of stars and celestial objects|La composizione chimica delle stelle|The chemical composition of stars|La formazione delle galassie|The formation of galaxies|L'energia emessa dalle stelle|The energy emitted by stars|2
Cos'è la luminosità assoluta di una stella?|What is the absolute luminosity of a star?|La sua luminosità intrinseca indipendente dalla distanza|Its intrinsic brightness independent of distance|La luminosità percepita dalla Terra|The brightness perceived from Earth|Il colore della stella|The color of the star|La dimensione della stella|The size of the star|3
Qual è la massa del Sole rispetto alla massa totale del sistema solare?|What fraction of the total solar system mass is the Sun?|Circa il 99,86%|About 99.86%|Circa il 90%|About 90%|Circa il 95%|About 95%|Circa l'80%|About 80%|3
Cos'è una stella di neutroni?|What is a neutron star?|Il residuo ultra-denso di una supernova composto quasi interamente di neutroni|The ultra-dense supernova remnant composed almost entirely of neutrons|Una stella composita di gas neutro|A star composed of neutral gas|Una stella che non emette luce|A star that emits no light|Una stella giovane in formazione|A young forming star|2
In quale anno fu scoperta la radiazione cosmica di fondo (CMB)?|In which year was the Cosmic Microwave Background (CMB) discovered?|1964|1964|1929|1929|1980|1980|1905|1905|3
Cos'è il paradosso di Olbers?|What is Olbers' paradox?|Il paradosso per cui un universo infinito e statico dovrebbe avere un cielo notturno infinitamente luminoso|The paradox that an infinite static universe should have an infinitely bright night sky|La mancanza di stelle visibili di giorno|The absence of visible stars during the day|L'oscurità tra le galassie|The darkness between galaxies|L'assenza di stelle vicino ai poli celesti|The absence of stars near the celestial poles|3
Cosa misura la scala di Kardashev?|What does the Kardashev scale measure?|Il livello tecnologico di una civiltà basato sull'uso dell'energia|The technological level of a civilization based on energy use|Le dimensioni delle galassie|The size of galaxies|La temperatura delle stelle|The temperature of stars|La distanza tra le stelle|The distance between stars|3
Cosa sono i punti di Lagrange?|What are Lagrange points?|Punti nello spazio dove le forze gravitazionali di due grandi corpi si equilibrano|Points in space where the gravitational forces of two large bodies balance|I punti più vicini di un'orbita al corpo centrale|The closest points of an orbit to the central body|I centri di massa di sistemi binari|The centers of mass of binary systems|Zone dello spazio prive di materia|Regions of space devoid of matter|3
Cos'è la pressione di radiazione?|What is radiation pressure?|La pressione esercitata dai fotoni sui corpi che li assorbono o riflettono|The pressure exerted by photons on bodies that absorb or reflect them|La forza gravitazionale del Sole|The gravitational force of the Sun|Il vento solare che spinge le comete|The solar wind pushing comets|L'energia emessa da una stella|The energy emitted by a star|3
Quale tipo di stelle sono le stelle di tipo O nella classificazione di Harvard?|What type of stars are type O stars in the Harvard classification?|Stelle molto massive, caldissime e di colore blu|Very massive, extremely hot, blue-colored stars|Stelle piccole e fredde|Small and cold stars|Stelle simili al Sole|Sun-like stars|Stelle in formazione|Forming stars|3
Cosa sono le stelle di Popolazione I e Popolazione II?|What are Population I and Population II stars?|Pop I ricche di metalli (giovani), Pop II povere di metalli (antiche)|Pop I metal-rich (young), Pop II metal-poor (ancient)|Stelle grandi (I) e piccole (II)|Large (I) and small (II) stars|Stelle nei bracci spirali (I) e nel nucleo (II)|Stars in spiral arms (I) and nucleus (II)|Stelle vicine (I) e lontane (II)|Nearby (I) and distant (II) stars|3
Qual è la singolarità di un buco nero?|What is the singularity of a black hole?|Il punto di densità e curvatura spazio-temporale infinita al centro del buco nero|The point of infinite density and spacetime curvature at the center of the black hole|Il confine visibile del buco nero|The visible boundary of the black hole|La zona di accrescimento di materia|The matter accretion zone|Il punto di massima velocità di rotazione|The point of maximum rotation speed|3
Cos'è la Grande Macchia Rossa di Giove?|What is Jupiter's Great Red Spot?|Un'enorme tempesta persistente da centinaia di anni|A huge storm persistent for hundreds of years|Un vulcano attivo|An active volcano|Un oceano di ghiaccio solidificato|An ocean of solidified ice|Un cratere da impatto gigante|A giant impact crater|1
Qual è la prima immagine di un buco nero catturata nel 2019?|What is the first image of a black hole captured in 2019?|M87* nella galassia Messier 87|M87* in the galaxy Messier 87|Sagittarius A* nella Via Lattea|Sagittarius A* in the Milky Way|Cygnus X-1|Cygnus X-1|NGC 4889|NGC 4889|2
