Domanda_IT|Domanda_EN|Risposta_Corretta_IT|Risposta_Corretta_EN|Sbagliata_1_IT|Sbagliata_1_EN|Sbagliata_2_IT|Sbagliata_2_EN|Sbagliata_3_IT|Sbagliata_3_EN|Difficolta
Quale record ha stabilito Wilt Chamberlain nell'NBA nel 1962?|What record did Wilt Chamberlain set in the NBA in 1962?|100 punti in una singola partita|100 points in a single game|81 punti|81 points|73 punti|73 points|92 punti|92 points|3
Qual è il record mondiale nel lancio del giavellotto maschile?|What is the men's javelin throw world record?|98,48 m (Jan Železný, 1996)|98.48 m (Jan Železný, 1996)|95,00 m|95.00 m|100,30 m|100.30 m|92,60 m|92.60 m|3
Chi detiene il record mondiale nel salto in lungo maschile?|Who holds the men's long jump world record?|Mike Powell (8,95 m, 1991)|Mike Powell (8.95 m, 1991)|Bob Beamon|Bob Beamon|Carl Lewis|Carl Lewis|Jesse Owens|Jesse Owens|3
Quale schermidore italiano detiene il record di medaglie olimpiche?|Which Italian fencer holds the Olympic medals record?|Edoardo Mangiarotti (13 medaglie)|Edoardo Mangiarotti (13 medals)|Valentina Vezzali|Valentina Vezzali|Giulio Gaudini|Giulio Gaudini|Giovanna Trillini|Giovanna Trillini|3
Chi detiene il record di home run nella storia della Major League Baseball?|Who holds the all-time home run record in Major League Baseball?|Barry Bonds (762)|Barry Bonds (762)|Hank Aaron (755)|Hank Aaron (755)|Babe Ruth (714)|Babe Ruth (714)|Alex Rodriguez (696)|Alex Rodriguez (696)|3
Quante volte si è disputata la Coppa del Mondo di calcio prima della Seconda Guerra Mondiale?|How many times was the Football World Cup held before World War II?|3 (1930, 1934, 1938)|3 (1930, 1934, 1938)|2|2|4|4|5|5|3
Qual è il record mondiale nei 400 metri piani maschili?|What is the men's 400m world record?|43,03 secondi (Wayde van Niekerk, 2016)|43.03 seconds (Wayde van Niekerk, 2016)|43,29 secondi|43.29 seconds|43,86 secondi|43.86 seconds|44,00 secondi|44.00 seconds|3
Quale atleta ha partecipato al maggior numero di edizioni delle Olimpiadi?|Which athlete has participated in the most editions of the Olympic Games?|Ian Millar (Canada, 10 Olimpiadi, equitazione)|Ian Millar (Canada, 10 Olympics, equestrian)|Carl Lewis|Carl Lewis|Leander Paes|Leander Paes|Hiroshi Hoketsu|Hiroshi Hoketsu|3
In quale anno Magnus Carlsen è diventato campione del mondo di scacchi?|In which year did Magnus Carlsen become world chess champion?|2013|2013|2010|2010|2015|2015|2011|2011|3
Qual è il record di titoli mondiali vinti da un singolo pilota in tutte le categorie del motomondiale?|What is the record for world titles won by a single rider across all Grand Prix motorcycle categories?|15 (Giacomo Agostini)|15 (Giacomo Agostini)|9 (Valentino Rossi)|9 (Valentino Rossi)|8 (Mike Hailwood)|8 (Mike Hailwood)|7 (Marc Márquez)|7 (Marc Márquez)|3
Quale ciclista ha vinto il Giro d'Italia più volte (record condiviso)?|Which cyclists share the record for most Giro d'Italia wins?|Alfredo Binda, Fausto Coppi e Eddy Merckx (5 volte ciascuno)|Alfredo Binda, Fausto Coppi and Eddy Merckx (5 times each)|Bernard Hinault|Bernard Hinault|Miguel Induráin|Miguel Induráin|Felice Gimondi|Felice Gimondi|3
Chi è il tennista con il record di settimane consecutive al n° 1 del ranking ATP?|Which tennis player holds the record for most consecutive weeks at ATP number 1?|Roger Federer (237 settimane consecutive)|Roger Federer (237 consecutive weeks)|Novak Djokovic|Novak Djokovic|Pete Sampras|Pete Sampras|Ivan Lendl|Ivan Lendl|3
In quale olimpiade si tennero per la prima volta gare di atletica femminile?|At which Olympics were the first women's athletics events held?|1928 (Amsterdam)|1928 (Amsterdam)|1896 (Atene)|1896 (Athens)|1924 (Parigi)|1924 (Paris)|1932 (Los Angeles)|1932 (Los Angeles)|3
Qual è il massimo numero di gol segnati in una singola edizione dei Mondiali di calcio a 32 squadre?|What is the most goals scored in a single 32-team FIFA World Cup?|171 gol (Francia 1998 e Brasile 2014)|171 goals (France 1998 and Brazil 2014)|141 gol|141 goals|159 gol|159 goals|200 gol|200 goals|3
Quale nazione ha vinto più volte la Coppa del Mondo di pallavolo maschile FIVB?|Which nation has won the Men's FIVB Volleyball World Championship the most times?|Russia/URSS|Russia/USSR|Brasile|Brazil|Italia|Italy|Polonia|Poland|2
In quale sport si contende la Laver Cup?|In which sport is the Laver Cup contested?|Tennis|Tennis|Golf|Golf|Badminton|Badminton|Squash|Squash|1
Quale paese ha vinto più volte la Coppa del Mondo di rugby a 15 prima del 2019?|Which country won the Rugby World Cup the most times before 2019?|Nuova Zelanda (3 volte)|New Zealand (3 times)|Sud Africa (2 volte)|South Africa (2 times)|Australia (2 volte)|Australia (2 times)|Inghilterra (1 volta)|England (1 time)|2
Chi è il portiere più longevo ad aver giocato in una Coppa del Mondo di calcio?|Who is the oldest goalkeeper to have played at a Football World Cup?|Essam El-Hadary (Egitto, 45 anni, 2018)|Essam El-Hadary (Egypt, 45 years old, 2018)|Dino Zoff (Italia)|Dino Zoff (Italy)|Peter Shilton (Inghilterra)|Peter Shilton (England)|Gianluigi Buffon (Italia)|Gianluigi Buffon (Italy)|3
In quante edizioni delle Olimpiadi ha gareggiato Leandro Paes (tennis)?|In how many Olympic Games did Leander Paes (tennis) compete?|7 (1992-2016)|7 (1992-2016)|5|5|6|6|8|8|3
Qual è il record di reti segnate da un singolo giocatore in una partita di calcio di Serie A?|What is the record for goals scored by a single player in a Serie A football match?|6 gol (Silvio Piola, 1933)|6 goals (Silvio Piola, 1933)|5 gol|5 goals|7 gol|7 goals|4 gol|4 goals|3
Quale country ha vinto più edizioni della Ryder Cup (golf)?|Which country has won the most Ryder Cup editions (golf)?|Stati Uniti|United States|Europa|Europe|Gran Bretagna|Great Britain|Irlanda|Ireland|2
Qual è il record di titoli mondiali consecutivi di Formula 1?|What is the record for consecutive Formula 1 world titles?|4 (Sebastian Vettel, 2010-2013)|4 (Sebastian Vettel, 2010-2013)|3|3|5|5|7|7|3
